BUBBLESORT,BUBBLESORT_OT,SELECTIONSORT,SELECTIONSORT_OT,INSERTIONSORT,RADIXSORT
2.20079e+008,1.43002e+008,7.7124e+007,8.1496e+007,6.3034e+007,6.0547e+007
2.20234e+008,1.44998e+008,7.9117e+007,6.7e+007,6.5059e+007,6e+007
2.20994e+008,1.45179e+008,7.9106e+007,6.7999e+007,6.2909e+007,6.2e+007
2.22133e+008,1.46078e+008,7.8678e+007,6.7088e+007,6.4e+007,6.0067e+007
2.22068e+008,1.45999e+008,8.0001e+007,6.71e+007,6.4001e+007,6.1277e+007
2.23122e+008,1.43151e+008,7.6788e+007,6.7004e+007,6.1165e+007,6.0118e+007
2.18822e+008,1.41994e+008,7.8e+007,6.8001e+007,6.3e+007,5.91e+007
2.17196e+008,1.40685e+008,7.7591e+007,6.607e+007,6.3117e+007,5.9253e+007
2.18376e+008,1.42485e+008,7.7e+007,6.5296e+007,6.3554e+007,6.0001e+007
2.23238e+008,1.41485e+008,7.7849e+007,6.8067e+007,6.1577e+007,6e+007
2.18416e+008,1.44338e+008,7.7e+007,6.706e+007,6.1999e+007,5.8999e+007
2.19243e+008,1.40051e+008,7.7999e+007,6.564e+007,6.4e+007,6.0998e+007
2.18192e+008,1.42127e+008,8.304e+007,6.8053e+007,6.1575e+007,6.0075e+007
2.18043e+008,1.42e+008,7.5999e+007,6.7e+007,6.3189e+007,6.0002e+007
2.18575e+008,1.41e+008,7.603e+007,6.6162e+007,6.4085e+007,5.9166e+007
2.1808e+008,1.41789e+008,7.7063e+007,6.5e+007,6.3e+007,6.0047e+007
2.18182e+008,1.43068e+008,7.6e+007,6.6219e+007,6.3922e+007,6.0192e+007
2.18624e+008,1.42005e+008,7.7483e+007,6.7e+007,6.1061e+007,5.9002e+007
2.17875e+008,1.41545e+008,7.756e+007,6.723e+007,6.2151e+007,6.0265e+007
2.19926e+008,1.42059e+008,7.7e+007,6.5087e+007,6.2001e+007,5.9656e+007
2.19006e+008,1.42089e+008,7.7e+007,6.9062e+007,6.3001e+007,5.9062e+007
2.23513e+008,1.40507e+008,7.6991e+007,6.5245e+007,6.2001e+007,5.9e+007
2.18684e+008,1.44093e+008,7.8096e+007,6.8e+007,6.3115e+007,5.9999e+007
